仕分納品日,仕分便№,発注納品日,発注便№,商品コード,連番,商品名（漢字）,ＪＡＮコード,ケース入数,仕分け数合計,商品名（カナ）,MAX積み付け段数,売価１,仕分け作業状況,仕分け数（1ST）,仕分け数（2ST）,仕分け数（3ST）,仕分け数（4ST）,仕分け数（5ST）,仕分け数（6ST）,仕分け数（7ST）,仕分け数（8ST）,仕分け数（9ST）,店舗数（1ST),店舗数（2ST),店舗数（3ST),店舗数（4ST),店舗数（5ST),店舗数（6ST),店舗数（7ST),店舗数（8ST),店舗数（9ST),登録日付,登録時刻,登録ログインID,更新日付,更新時刻,更新ログインID
20230724,1,20230724,1,000253,1,森永　飲めちゃう牛乳プリン　　２０本　　　　,9900000000001,0,1000,*20*ﾓﾘﾅｶﾞ ｷﾞｭｳﾆｭｳﾌﾟﾘﾝ ,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20230724,101500,admin,,,
20230724,1,20230724,1,000349,1,未◆ＬＷＭブリオッシュ　　　　カスタード　Ｃ,9900000000001,0,1000,LWMﾌﾞﾘｵｯｼｭ ｶｽﾀｰﾄﾞ     ,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20230724,101500,admin,,,
20230724,1,20230724,1,009106,1,海鮮恵方巻３本入　　　　　　　　　１日１便　,9900000000001,0,1000,ｶｲｾﾝｴﾎｳﾏｷ3ﾎﾝｲﾘ   1ﾆﾁ1 ,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20230724,101500,admin,,,
20230724,1,20230724,1,046697,1,肉モリモリ弁当　　　　　　　　　　　　　　　,9900000000001,0,1000,ﾆｸﾓﾘﾓﾘﾍﾞﾝﾄｳ           ,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20230724,101500,admin,,,
20230724,1,20230724,1,060153,1,恵ガセリ菌ＹＧドリンクマスカット　１００ｇ　,9900000000001,0,1000,ﾒｸﾞﾐｶﾞｾﾘｷﾝYGﾄﾞﾘﾝｸﾏｽｶｯﾄ,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20230724,101500,admin,,,
20230724,2,20230724,2,000253,1,森永　飲めちゃう牛乳プリン　　２０本　　　　,9900000000001,0,1000,*20*ﾓﾘﾅｶﾞ ｷﾞｭｳﾆｭｳﾌﾟﾘﾝ ,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20230724,101500,admin,,,
20230724,2,20230724,2,000349,1,未◆ＬＷＭブリオッシュ　　　　カスタード　Ｃ,9900000000001,0,1000,LWMﾌﾞﾘｵｯｼｭ ｶｽﾀｰﾄﾞ     ,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20230724,101500,admin,,,
20230724,2,20230724,2,009106,1,海鮮恵方巻３本入　　　　　　　　　１日１便　,9900000000001,0,1000,ｶｲｾﾝｴﾎｳﾏｷ3ﾎﾝｲﾘ   1ﾆﾁ1 ,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20230724,101500,admin,,,
20230724,2,20230724,2,046697,1,肉モリモリ弁当　　　　　　　　　　　　　　　,9900000000001,0,1000,ﾆｸﾓﾘﾓﾘﾍﾞﾝﾄｳ           ,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20230724,101500,admin,,,
20230724,2,20230724,2,060153,1,恵ガセリ菌ＹＧドリンクマスカット　１００ｇ　,9900000000001,0,1000,ﾒｸﾞﾐｶﾞｾﾘｷﾝYGﾄﾞﾘﾝｸﾏｽｶｯﾄ,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20230724,101500,admin,,,
20230724,3,20230724,3,000253,1,森永　飲めちゃう牛乳プリン　　２０本　　　　,9900000000001,0,1000,*20*ﾓﾘﾅｶﾞ ｷﾞｭｳﾆｭｳﾌﾟﾘﾝ ,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20230724,101500,admin,,,
20230724,3,20230724,3,000349,1,未◆ＬＷＭブリオッシュ　　　　カスタード　Ｃ,9900000000001,0,1000,LWMﾌﾞﾘｵｯｼｭ ｶｽﾀｰﾄﾞ     ,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20230724,101500,admin,,,
20230724,3,20230724,3,009106,1,海鮮恵方巻３本入　　　　　　　　　１日１便　,9900000000001,0,1000,ｶｲｾﾝｴﾎｳﾏｷ3ﾎﾝｲﾘ   1ﾆﾁ1 ,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20230724,101500,admin,,,
20230724,3,20230724,3,046697,1,肉モリモリ弁当　　　　　　　　　　　　　　　,9900000000001,0,1000,ﾆｸﾓﾘﾓﾘﾍﾞﾝﾄｳ           ,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20230724,101500,admin,,,
20230724,3,20230724,3,060153,1,恵ガセリ菌ＹＧドリンクマスカット　１００ｇ　,9900000000001,0,1000,ﾒｸﾞﾐｶﾞｾﾘｷﾝYGﾄﾞﾘﾝｸﾏｽｶｯﾄ,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20230724,101500,admin,,,
